matchId,date,year,stage,homeTeam,awayTeam,actualOutcome,homeScore,awayScore,eloDiff,elo_homeWin,elo_draw,elo_awayWin,elo_xgHome,elo_xgAway,elo_confidence,elo_correct,ml_homeWin,ml_draw,ml_awayWin,ml_xgHome,ml_xgAway,ml_confidence,ml_correct,ensemble_homeWin,ensemble_draw,ensemble_awayWin,ensemble_xgHome,ensemble_xgAway,ensemble_confidence,ensemble_correct
wc2026-ivory-coast-norway,2026-06-30,2026,Round of 32,Ivory Coast,Norway,AWAY,1,2,-133,0.2136,0.2719,0.5145,1.02,1.68,0.5145,1,0.4539,0.2089,0.3372,3.5,1.54,0.4539,0,0.3818,0.2278,0.3904,2.76,1.58,0.3904,1
wc2026-mexico-ecuador,2026-06-30,2026,Round of 32,Mexico,Ecuador,HOME,2,0,48,0.411,0.2877,0.3013,1.47,1.23,0.411,1,0.5829,0.2297,0.1874,3.01,1.19,0.5829,1,0.5313,0.2471,0.2216,2.55,1.2,0.5313,1
wc2026-belgium-senegal,2026-07-01,2026,Round of 32,Belgium,Senegal,HOME,3,2,39,0.4002,0.2885,0.3114,1.45,1.25,0.4002,1,0.5569,0.2202,0.2229,2.99,1.13,0.5569,1,0.5099,0.2407,0.2495,2.53,1.17,0.5099,1
wc2026-england-dr-congo,2026-07-01,2026,Round of 32,England,DR Congo,HOME,2,1,326,0.7411,0.1911,0.0677,2.16,0.54,0.7411,1,0.8139,0.1233,0.0628,4,0.87,0.8139,1,0.7921,0.1436,0.0643,3.45,0.77,0.7921,1
wc2026-usa-bosnia-and-herzegovina,2026-07-01,2026,Round of 32,USA,Bosnia & Herzegovina,HOME,2,0,-119,0.2271,0.2754,0.4975,1.05,1.65,0.4975,0,0.4868,0.2531,0.2601,2.56,1.6,0.4868,1,0.4089,0.2598,0.3313,2.11,1.61,0.4089,1
wc2026-spain-austria,2026-07-02,2026,Round of 32,Spain,Austria,HOME,3,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.7244,0.1677,0.1079,2.79,0.86,0.7244,1,0.6136,0.2044,0.182,2.36,1.01,0.6136,1
wc2026-portugal-croatia,2026-07-02,2026,Round of 32,Portugal,Croatia,HOME,2,1,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.5399,0.2319,0.2282,2.94,1.3,0.5399,1,0.4844,0.2493,0.2662,2.46,1.32,0.4844,1
wc2026-switzerland-algeria,2026-07-02,2026,Round of 32,Switzerland,Algeria,HOME,2,0,0,0.355,0.29,0.355,1.35,1.35,0.355,0,0.5507,0.2419,0.2074,2.77,1.2,0.5507,1,0.492,0.2563,0.2517,2.34,1.25,0.492,1
wc2002-france-senegal,2002-05-31,2002,GROUP_STAGE,France,Senegal,AWAY,0,1,237,0.6406,0.2346,0.1248,1.94,0.76,0.6406,0,0.6865,0.1854,0.1281,2.85,0.97,0.6865,0,0.6727,0.2002,0.1271,2.58,0.91,0.6727,0
wc2002-republic-of-ireland-cameroon,2002-06-01,2002,GROUP_STAGE,Republic of Ireland,Cameroon,DRAW,1,1,-133,0.2138,0.2719,0.5143,1.02,1.68,0.5143,0,0.479,0.2028,0.3182,3.65,1.4,0.479,0,0.3994,0.2235,0.377,2.86,1.48,0.3994,0
wc2002-uruguay-denmark,2002-06-01,2002,GROUP_STAGE,Uruguay,Denmark,AWAY,1,2,6,0.362,0.29,0.3481,1.37,1.34,0.362,0,0.4244,0.2666,0.309,2.86,1.56,0.4244,0,0.4057,0.2736,0.3207,2.41,1.49,0.4057,0
wc2002-germany-saudi-arabia,2002-06-01,2002,GROUP_STAGE,Germany,Saudi Arabia,HOME,8,0,241,0.6448,0.2331,0.1221,1.95,0.75,0.6448,1,0.5168,0.2403,0.2429,3.13,1.53,0.5168,1,0.5552,0.2381,0.2067,2.78,1.3,0.5552,1
wc2002-argentina-nigeria,2002-06-02,2002,GROUP_STAGE,Argentina,Nigeria,HOME,1,0,319,0.7336,0.1949,0.0716,2.15,0.55,0.7336,1,0.7051,0.1812,0.1137,2.72,0.82,0.7051,1,0.7137,0.1853,0.1011,2.55,0.74,0.7137,1
wc2002-paraguay-south-africa,2002-06-02,2002,GROUP_STAGE,Paraguay,South Africa,DRAW,2,2,104,0.4795,0.2788,0.2418,1.61,1.09,0.4795,0,0.4756,0.2455,0.2789,2.81,1.7,0.4756,0,0.4768,0.2555,0.2678,2.45,1.52,0.4768,0
wc2002-england-sweden,2002-06-02,2002,GROUP_STAGE,England,Sweden,DRAW,1,1,249,0.6545,0.2293,0.1161,1.97,0.73,0.6545,0,0.6929,0.1928,0.1143,2.8,0.82,0.6929,0,0.6814,0.2038,0.1148,2.55,0.79,0.6814,0
wc2002-spain-slovenia,2002-06-02,2002,GROUP_STAGE,Spain,Slovenia,HOME,3,1,517,0.8645,0.1145,0.0209,2.64,0.3,0.8645,1,0.7784,0.1392,0.0824,3.14,0.76,0.7784,1,0.8042,0.1318,0.0639,2.99,0.62,0.8042,1
wc2002-croatia-mexico,2002-06-03,2002,GROUP_STAGE,Croatia,Mexico,AWAY,0,1,-49,0.3004,0.2876,0.412,1.23,1.47,0.412,1,0.4502,0.2459,0.3039,3.06,1.56,0.4502,0,0.4053,0.2584,0.3363,2.51,1.53,0.4053,0
